========================================================================================================================
MACD趋势判断对比分析 - SOL-USDT-SWAP (2026-05-16)
========================================================================================================================

参数: fast=9, slow=21, signal=60, adjust=True

========================================================================================================================
30分钟 K线 MACD数据
========================================================================================================================
UTC时间                     UTC+8           收盘价        DIFF         DEA          STICK(HIST)     方式A(柱变化)        方式B(零轴)     
2026-05-16 09:00          17:00           85.93      -0.727540    -0.321813    -0.811455       SHORT           SHORT       
2026-05-16 09:30          17:30           86.00      -0.823994    -0.338930    -0.970128       SHORT           SHORT       
2026-05-16 10:00          18:00           85.64      -0.918431    -0.358658    -1.119546       SHORT           SHORT       
2026-05-16 10:30          18:30           85.86      -0.946414    -0.378641    -1.135546       SHORT           SHORT       

========================================================================================================================
5分钟 K线 MACD数据 (每个30min区间内的5根5min K线)
========================================================================================================================
UTC时间                     UTC+8           收盘价        DIFF         DEA          STICK(HIST)     方式A(柱变化)        方式B(零轴)     
------------------------------------------------------------------------------------------------------------------------
2026-05-16 00:00          08:00           89.25      0.000974     -0.023035    0.048019        -               -           
2026-05-16 00:05          08:05           89.33      0.010989     -0.021916    0.065809        LONG            LONG        
2026-05-16 00:10          08:10           89.37      0.022436     -0.020457    0.085785        LONG            LONG        
2026-05-16 00:15          08:15           89.26      0.018353     -0.019180    0.075066        SHORT           LONG        
2026-05-16 00:20          08:20           89.33      0.022686     -0.017803    0.080979        LONG            LONG        
2026-05-16 00:25          08:25           89.30      0.022152     -0.016489    0.077283        SHORT           LONG        
2026-05-16 00:30          08:30           89.27      0.018089     -0.015352    0.066882        SHORT           LONG        
2026-05-16 00:35          08:35           89.35      0.023532     -0.014074    0.075211        LONG            LONG        
2026-05-16 00:40          08:40           89.25      0.016153     -0.013080    0.058467        SHORT           LONG        
2026-05-16 00:45          08:45           89.28      0.013766     -0.012198    0.051928        SHORT           LONG        
2026-05-16 00:50          08:50           89.21      0.004144     -0.011660    0.031608        SHORT           LONG        
2026-05-16 00:55          08:55           89.19      -0.005112    -0.011445    0.012667        SHORT           LONG        
2026-05-16 01:00          09:00           89.18      -0.012841    -0.011491    -0.002700       SHORT           SHORT       
2026-05-16 01:05          09:05           89.20      -0.016047    -0.011641    -0.008813       SHORT           SHORT       
2026-05-16 01:10          09:10           89.22      -0.015905    -0.011781    -0.008248       LONG            SHORT       
2026-05-16 01:15          09:15           89.18      -0.019876    -0.012047    -0.015659       SHORT           SHORT       
2026-05-16 01:20          09:20           89.12      -0.028949    -0.012602    -0.032693       SHORT           SHORT       
2026-05-16 01:25          09:25           88.98      -0.050293    -0.013840    -0.072905       SHORT           SHORT       
2026-05-16 01:30          09:30           89.04      -0.058356    -0.015303    -0.086107       SHORT           SHORT       
2026-05-16 01:35          09:35           88.94      -0.074068    -0.017233    -0.113670       SHORT           SHORT       
2026-05-16 01:40          09:40           88.96      -0.081967    -0.019360    -0.125215       SHORT           SHORT       
2026-05-16 01:45          09:45           89.06      -0.075312    -0.021197    -0.108230       LONG            SHORT       
2026-05-16 01:50          09:50           89.13      -0.061466    -0.022520    -0.077893       LONG            SHORT       
2026-05-16 01:55          09:55           89.24      -0.038279    -0.023037    -0.030484       LONG            SHORT       
2026-05-16 02:00          10:00           89.26      -0.018538    -0.022890    0.008703        LONG            LONG        
2026-05-16 02:05          10:05           89.22      -0.008208    -0.022408    0.028400        LONG            LONG        
2026-05-16 02:10          10:10           89.26      0.003819     -0.021546    0.050730        LONG            LONG        
2026-05-16 02:15          10:15           89.21      0.007041     -0.020608    0.055297        LONG            LONG        
2026-05-16 02:20          10:20           89.14      0.001620     -0.019878    0.042996        SHORT           LONG        
2026-05-16 02:25          10:25           89.04      -0.013261    -0.019661    0.012799        SHORT           LONG        
2026-05-16 02:30          10:30           88.99      -0.029297    -0.019977    -0.018640       SHORT           SHORT       
2026-05-16 02:35          10:35           89.00      -0.039336    -0.020613    -0.037447       SHORT           SHORT       
2026-05-16 02:40          10:40           89.05      -0.040467    -0.021264    -0.038406       SHORT           SHORT       
2026-05-16 02:45          10:45           89.02      -0.043827    -0.022005    -0.043644       SHORT           SHORT       
2026-05-16 02:50          10:50           89.08      -0.038928    -0.022561    -0.032735       LONG            SHORT       
2026-05-16 02:55          10:55           89.15      -0.027021    -0.022707    -0.008629       LONG            SHORT       
2026-05-16 03:00          11:00           89.17      -0.015689    -0.022477    0.013576        LONG            LONG        
2026-05-16 03:05          11:05           89.18      -0.006070    -0.021938    0.031735        LONG            LONG        
2026-05-16 03:10          11:10           89.15      -0.002238    -0.021292    0.038108        LONG            LONG        
2026-05-16 03:15          11:15           89.17      0.002772     -0.020502    0.046548        LONG            LONG        
2026-05-16 03:20          11:20           89.17      0.006365     -0.019620    0.051971        LONG            LONG        
2026-05-16 03:25          11:25           89.17      0.008863     -0.018685    0.055096        LONG            LONG        
2026-05-16 03:30          11:30           89.13      0.006154     -0.017870    0.048049        SHORT           LONG        
2026-05-16 03:35          11:35           89.10      0.000800     -0.017258    0.036115        SHORT           LONG        
2026-05-16 03:40          11:40           88.97      -0.017291    -0.017259    -0.000064       SHORT           SHORT       
2026-05-16 03:45          11:45           89.00      -0.026860    -0.017574    -0.018573       SHORT           SHORT       
2026-05-16 03:50          11:50           89.02      -0.031150    -0.018019    -0.026261       SHORT           SHORT       
2026-05-16 03:55          11:55           89.00      -0.035885    -0.018605    -0.034559       SHORT           SHORT       
2026-05-16 04:00          12:00           88.99      -0.039767    -0.019300    -0.040935       SHORT           SHORT       
2026-05-16 04:05          12:05           89.00      -0.040776    -0.020004    -0.041544       SHORT           SHORT       
2026-05-16 04:10          12:10           88.93      -0.048406    -0.020936    -0.054939       SHORT           SHORT       
2026-05-16 04:15          12:15           88.91      -0.055256    -0.022062    -0.066387       SHORT           SHORT       
2026-05-16 04:20          12:20           88.87      -0.063597    -0.023425    -0.080344       SHORT           SHORT       
2026-05-16 04:25          12:25           88.73      -0.083779    -0.025405    -0.116749       SHORT           SHORT       
2026-05-16 04:30          12:30           88.18      -0.156934    -0.029720    -0.254429       SHORT           SHORT       
2026-05-16 04:35          12:35           88.37      -0.186557    -0.034865    -0.303384       SHORT           SHORT       
2026-05-16 04:40          12:40           88.59      -0.180709    -0.039649    -0.282120       LONG            SHORT       
2026-05-16 04:45          12:45           88.53      -0.179716    -0.044244    -0.270944       LONG            SHORT       
2026-05-16 04:50          12:50           88.69      -0.158272    -0.047985    -0.220574       LONG            SHORT       
2026-05-16 04:55          12:55           88.81      -0.126707    -0.050567    -0.152280       LONG            SHORT       
2026-05-16 05:00          13:00           88.57      -0.127629    -0.053095    -0.149068       LONG            SHORT       
2026-05-16 05:05          13:05           88.55      -0.128161    -0.055557    -0.145207       LONG            SHORT       
2026-05-16 05:10          13:10           88.55      -0.126217    -0.057875    -0.136685       LONG            SHORT       
2026-05-16 05:15          13:15           88.53      -0.124691    -0.060067    -0.129249       LONG            SHORT       
2026-05-16 05:20          13:20           88.51      -0.123496    -0.062147    -0.122697       LONG            SHORT       
2026-05-16 05:25          13:25           88.53      -0.118199    -0.063986    -0.108427       LONG            SHORT       
2026-05-16 05:30          13:30           88.41      -0.125289    -0.065996    -0.118585       SHORT           SHORT       
2026-05-16 05:35          13:35           88.33      -0.136894    -0.068322    -0.137145       SHORT           SHORT       
2026-05-16 05:40          13:40           88.57      -0.116664    -0.069907    -0.093513       LONG            SHORT       
2026-05-16 05:45          13:45           88.61      -0.095466    -0.070746    -0.049441       LONG            SHORT       
2026-05-16 05:50          13:50           88.60      -0.079405    -0.071030    -0.016750       LONG            SHORT       
2026-05-16 05:55          13:55           88.53      -0.073916    -0.071124    -0.005583       LONG            SHORT       
2026-05-16 06:00          14:00           88.56      -0.065308    -0.070934    0.011251        LONG            LONG        
2026-05-16 06:05          14:05           88.38      -0.077496    -0.071149    -0.012695       SHORT           SHORT       
2026-05-16 06:10          14:10           88.31      -0.092588    -0.071852    -0.041472       SHORT           SHORT       
2026-05-16 06:15          14:15           88.28      -0.105153    -0.072944    -0.064418       SHORT           SHORT       
2026-05-16 06:20          14:20           88.17      -0.124379    -0.074631    -0.099497       SHORT           SHORT       
2026-05-16 06:25          14:25           88.24      -0.128464    -0.076397    -0.104136       SHORT           SHORT       
2026-05-16 06:30          14:30           88.37      -0.114918    -0.077660    -0.074516       LONG            SHORT       
2026-05-16 06:35          14:35           88.09      -0.133522    -0.079492    -0.108060       SHORT           SHORT       
2026-05-16 06:40          14:40           88.04      -0.150079    -0.081807    -0.136544       SHORT           SHORT       
2026-05-16 06:45          14:45           87.87      -0.177937    -0.084959    -0.185955       SHORT           SHORT       
2026-05-16 06:50          14:50           88.05      -0.175326    -0.087923    -0.174806       LONG            SHORT       
2026-05-16 06:55          14:55           87.96      -0.180057    -0.090944    -0.178226       SHORT           SHORT       
2026-05-16 07:00          15:00           87.90      -0.186770    -0.094087    -0.185367       SHORT           SHORT       
2026-05-16 07:05          15:05           87.63      -0.217711    -0.098141    -0.239140       SHORT           SHORT       
2026-05-16 07:10          15:10           87.14      -0.289709    -0.104423    -0.370572       SHORT           SHORT       
2026-05-16 07:15          15:15           87.03      -0.348804    -0.112437    -0.472734       SHORT           SHORT       
2026-05-16 07:20          15:20           87.14      -0.373441    -0.120996    -0.504889       SHORT           SHORT       
2026-05-16 07:25          15:25           87.31      -0.366023    -0.129031    -0.473983       LONG            SHORT       
2026-05-16 07:30          15:30           87.30      -0.355064    -0.136444    -0.437241       LONG            SHORT       
2026-05-16 07:35          15:35           87.59      -0.309002    -0.142102    -0.333799       LONG            SHORT       
2026-05-16 07:40          15:40           87.59      -0.269884    -0.146293    -0.247182       LONG            SHORT       
2026-05-16 07:45          15:45           87.43      -0.253982    -0.149824    -0.208316       LONG            SHORT       
2026-05-16 07:50          15:50           87.33      -0.248708    -0.153067    -0.191283       LONG            SHORT       
2026-05-16 07:55          15:55           87.40      -0.232714    -0.155678    -0.154072       LONG            SHORT       
2026-05-16 08:00          16:00           87.55      -0.200488    -0.157148    -0.086680       LONG            SHORT       
2026-05-16 08:05          16:05           87.48      -0.181041    -0.157931    -0.046220       LONG            SHORT       
2026-05-16 08:10          16:10           87.42      -0.170152    -0.158332    -0.023640       LONG            SHORT       
2026-05-16 08:15          16:15           87.43      -0.158048    -0.158323    0.000549        LONG            LONG        
2026-05-16 08:20          16:20           87.45      -0.144190    -0.157859    0.027338        LONG            LONG        
2026-05-16 08:25          16:25           87.43      -0.133671    -0.157066    0.046789        LONG            LONG        
2026-05-16 08:30          16:30           87.44      -0.122500    -0.155933    0.066865        LONG            LONG        
2026-05-16 08:35          16:35           87.45      -0.111058    -0.154461    0.086807        LONG            LONG        
2026-05-16 08:40          16:40           87.52      -0.093080    -0.152448    0.118737        LONG            LONG        
2026-05-16 08:45          16:45           87.43      -0.088131    -0.150339    0.124416        LONG            LONG        
2026-05-16 08:50          16:50           87.51      -0.074203    -0.147843    0.147281        LONG            LONG        
2026-05-16 08:55          16:55           87.44      -0.070360    -0.145302    0.149885        LONG            LONG        
2026-05-16 09:00          17:00           87.42      -0.068468    -0.142783    0.148630        SHORT           LONG        
2026-05-16 09:05          17:05           87.35      -0.073483    -0.140511    0.134055        SHORT           LONG        
2026-05-16 09:10          17:10           87.19      -0.093249    -0.138961    0.091424        SHORT           LONG        
2026-05-16 09:15          17:15           86.02      -0.233565    -0.142063    -0.183005       SHORT           SHORT       
2026-05-16 09:20          17:20           86.05      -0.328094    -0.148163    -0.359862       SHORT           SHORT       
2026-05-16 09:25          17:25           85.93      -0.403968    -0.156551    -0.494835       SHORT           SHORT       
2026-05-16 09:30          17:30           86.20      -0.422349    -0.165266    -0.514167       SHORT           SHORT       
2026-05-16 09:35          17:35           86.17      -0.431311    -0.173989    -0.514644       SHORT           SHORT       
2026-05-16 09:40          17:40           86.09      -0.438714    -0.182670    -0.512090       LONG            SHORT       
2026-05-16 09:45          17:45           85.92      -0.454667    -0.191588    -0.526158       SHORT           SHORT       
2026-05-16 09:50          17:50           86.19      -0.428548    -0.199358    -0.458381       LONG            SHORT       
2026-05-16 09:55          17:55           86.00      -0.422488    -0.206674    -0.431628       LONG            SHORT       
2026-05-16 10:00          18:00           85.92      -0.419126    -0.213640    -0.410972       LONG            SHORT       
2026-05-16 10:05          18:05           85.71      -0.431970    -0.220799    -0.422342       SHORT           SHORT       
2026-05-16 10:10          18:10           85.79      -0.424729    -0.227486    -0.394488       LONG            SHORT       
2026-05-16 10:15          18:15           85.75      -0.416105    -0.233670    -0.364869       LONG            SHORT       
2026-05-16 10:20          18:20           85.76      -0.401176    -0.239163    -0.324027       LONG            SHORT       
2026-05-16 10:25          18:25           85.64      -0.396116    -0.244309    -0.303614       LONG            SHORT       
2026-05-16 10:30          18:30           85.90      -0.356870    -0.248000    -0.217740       LONG            SHORT       
2026-05-16 10:35          18:35           85.75      -0.338202    -0.250957    -0.174490       LONG            SHORT       
2026-05-16 10:40          18:40           85.76      -0.317386    -0.253135    -0.128501       LONG            SHORT       
2026-05-16 10:45          18:45           85.85      -0.286658    -0.254234    -0.064846       LONG            SHORT       
2026-05-16 10:50          18:50           85.86      -0.258007    -0.254358    -0.007298       LONG            SHORT       
2026-05-16 10:55          18:55           85.86      -0.232479    -0.253641    0.042323        LONG            LONG        

========================================================================================================================
趋势判断逻辑说明:
========================================================================================================================
方式A (柱子高度变化): 当前柱 > 前一根柱 → LONG，当前柱 < 前一根柱 → SHORT
方式B (零轴位置):     STICK > 0 → LONG，STICK < 0 → SHORT
